"age";"name";"man";"woman"
моложе 15 лет;Алтайский край;0;0
моложе 15 лет;Амурская область;0;0
моложе 15 лет;Архангельская область;0;0
моложе 15 лет;Астраханская область;0;0
моложе 15 лет;Белгородская область;1;0
моложе 15 лет;Брянская область;0;0
моложе 15 лет;Владимирская область;0;0
моложе 15 лет;Волгоградская область;0;0
моложе 15 лет;Вологодская область;0;0
моложе 15 лет;Воронежская область;2;0
моложе 15 лет;г. Москва;1;3
моложе 15 лет;г.Санкт-Петербург;3;2
моложе 15 лет;г.Севастополь;0;0
моложе 15 лет;Еврейская автономная область;0;0
моложе 15 лет;Забайкальский край;0;0
моложе 15 лет;Ивановская область;0;0
моложе 15 лет;Иркутская область;1;0
моложе 15 лет;Кабардино-Балкарская Республика;0;0
моложе 15 лет;Калининградская область;0;0
моложе 15 лет;Калужская область;0;0
моложе 15 лет;Камчатский край;0;0
моложе 15 лет;Карачаево-Черкесская Республика;0;0
моложе 15 лет;Кемеровская область;0;0
моложе 15 лет;Кировская область;0;0
моложе 15 лет;Костромская область;0;0
моложе 15 лет;Краснодарский край;0;0
моложе 15 лет;Красноярский край;0;0
моложе 15 лет;Курганская область;0;0
моложе 15 лет;Курская область;0;1
моложе 15 лет;Ленинградская область;0;0
моложе 15 лет;Липецкая область;0;0
моложе 15 лет;Магаданская область;0;0
моложе 15 лет;Московская область;0;0
моложе 15 лет;Мурманская область;0;0
моложе 15 лет;Нижегородская область;0;0
моложе 15 лет;Новгородская область;0;0
моложе 15 лет;Новосибирская область;0;0
моложе 15 лет;Омская область;0;0
моложе 15 лет;Оренбургская область;0;0
моложе 15 лет;Орловская область;0;0
моложе 15 лет;Пензенская область;0;0
моложе 15 лет;Пермский край;0;0
моложе 15 лет;Приморский край;0;0
моложе 15 лет;Псковская область;0;0
моложе 15 лет;Республика Адыгея;0;0
моложе 15 лет;Республика Алтай;0;0
моложе 15 лет;Республика Башкортостан;0;0
моложе 15 лет;Республика Бурятия;0;0
моложе 15 лет;Республика Дагестан;15;17
моложе 15 лет;Республика Ингушетия;0;0
моложе 15 лет;Республика Калмыкия;0;0
моложе 15 лет;Республика Карелия;0;0
моложе 15 лет;Республика Коми;0;0
моложе 15 лет;Республика Крым;0;0
моложе 15 лет;Республика Марий Эл;0;0
моложе 15 лет;Республика Мордовия;0;0
моложе 15 лет;Республика Саха (Якутия);0;0
моложе 15 лет;Республика Северная Осетия - Алания;1;0
моложе 15 лет;Республика Татарстан;0;0
моложе 15 лет;Республика Тыва;0;0
моложе 15 лет;Республика Хакасия;0;0
моложе 15 лет;Ростовская область;0;0
моложе 15 лет;Рязанская область;0;0
моложе 15 лет;Самарская область;0;0
моложе 15 лет;Саратовская область;0;0
моложе 15 лет;Сахалинская область;0;0
моложе 15 лет;Свердловская область;0;0
моложе 15 лет;Смоленская область;0;0
моложе 15 лет;Ставропольский край;0;5
моложе 15 лет;Тамбовская область;0;0
моложе 15 лет;Тверская область;0;0
моложе 15 лет;Томская область;0;0
моложе 15 лет;Тульская область;0;0
моложе 15 лет;Тюменская область;0;0
моложе 15 лет;Удмуртская Республика;0;0
моложе 15 лет;Ульяновская область;0;0
моложе 15 лет;Хабаровский край;0;0
моложе 15 лет;Ханты-Мансийский автономный округ;0;0
моложе 15 лет;Челябинская область;0;0
моложе 15 лет;Чеченская Республика;0;0
моложе 15 лет;Чувашская Республика;0;0
моложе 15 лет;Чукотский автономный округ;0;0
моложе 15 лет;Ямало-Ненецкий автономный округ;0;0
моложе 15 лет;Ярославская область;0;0
"15 лет";Алтайский край;0;1
"15 лет";Амурская область;0;0
"15 лет";Архангельская область;0;0
"15 лет";Астраханская область;1;0
"15 лет";Белгородская область;0;0
"15 лет";Брянская область;0;0
"15 лет";Владимирская область;0;0
"15 лет";Волгоградская область;0;0
"15 лет";Вологодская область;0;0
"15 лет";Воронежская область;0;0
"15 лет";г. Москва;20;9
"15 лет";г.Санкт-Петербург;2;6
"15 лет";г.Севастополь;0;0
"15 лет";Еврейская автономная область;0;0
"15 лет";Забайкальский край;0;0
"15 лет";Ивановская область;0;0
"15 лет";Иркутская область;0;0
"15 лет";Кабардино-Балкарская Республика;1;0
"15 лет";Калининградская область;0;0
"15 лет";Калужская область;0;0
"15 лет";Камчатский край;0;0
"15 лет";Карачаево-Черкесская Республика;1;1
"15 лет";Кемеровская область;0;0
"15 лет";Кировская область;0;0
"15 лет";Костромская область;0;0
"15 лет";Краснодарский край;0;0
"15 лет";Красноярский край;0;0
"15 лет";Курганская область;0;0
"15 лет";Курская область;2;0
"15 лет";Ленинградская область;0;0
"15 лет";Липецкая область;0;0
"15 лет";Магаданская область;0;0
"15 лет";Московская область;0;1
"15 лет";Мурманская область;0;0
"15 лет";Нижегородская область;0;0
"15 лет";Новгородская область;0;0
"15 лет";Новосибирская область;0;0
"15 лет";Омская область;0;0
"15 лет";Оренбургская область;0;0
"15 лет";Орловская область;0;0
"15 лет";Пензенская область;0;0
"15 лет";Пермский край;0;0
"15 лет";Приморский край;0;0
"15 лет";Псковская область;0;0
"15 лет";Республика Адыгея;0;0
"15 лет";Республика Алтай;0;0
"15 лет";Республика Башкортостан;0;0
"15 лет";Республика Бурятия;0;0
"15 лет";Республика Дагестан;2;3
"15 лет";Республика Ингушетия;0;0
"15 лет";Республика Калмыкия;0;0
"15 лет";Республика Карелия;0;0
"15 лет";Республика Коми;0;0
"15 лет";Республика Крым;0;1
"15 лет";Республика Марий Эл;0;0
"15 лет";Республика Мордовия;0;0
"15 лет";Республика Саха (Якутия);1;0
"15 лет";Республика Северная Осетия - Алания;0;0
"15 лет";Республика Татарстан;0;0
"15 лет";Республика Тыва;0;0
"15 лет";Республика Хакасия;0;0
"15 лет";Ростовская область;0;0
"15 лет";Рязанская область;0;0
"15 лет";Самарская область;0;0
"15 лет";Саратовская область;4;0
"15 лет";Сахалинская область;0;0
"15 лет";Свердловская область;0;2
"15 лет";Смоленская область;0;0
"15 лет";Ставропольский край;0;0
"15 лет";Тамбовская область;0;0
"15 лет";Тверская область;0;0
"15 лет";Томская область;0;0
"15 лет";Тульская область;0;0
"15 лет";Тюменская область;0;0
"15 лет";Удмуртская Республика;0;0
"15 лет";Ульяновская область;0;0
"15 лет";Хабаровский край;0;0
"15 лет";Ханты-Мансийский автономный округ;0;0
"15 лет";Челябинская область;0;0
"15 лет";Чеченская Республика;1;0
"15 лет";Чувашская Республика;0;0
"15 лет";Чукотский автономный округ;0;0
"15 лет";Ямало-Ненецкий автономный округ;0;0
"15 лет";Ярославская область;0;0
"16 лет";Алтайский край;1;1
"16 лет";Амурская область;0;0
"16 лет";Архангельская область;0;0
"16 лет";Астраханская область;33;19
"16 лет";Белгородская область;0;3
"16 лет";Брянская область;1;1
"16 лет";Владимирская область;2;2
"16 лет";Волгоградская область;2;7
"16 лет";Вологодская область;2;0
"16 лет";Воронежская область;0;4
"16 лет";г. Москва;627;730
"16 лет";г.Санкт-Петербург;177;259
"16 лет";г.Севастополь;3;4
"16 лет";Еврейская автономная область;0;0
"16 лет";Забайкальский край;1;3
"16 лет";Ивановская область;0;1
"16 лет";Иркутская область;3;3
"16 лет";Кабардино-Балкарская Республика;17;34
"16 лет";Калининградская область;0;0
"16 лет";Калужская область;0;0
"16 лет";Камчатский край;1;0
"16 лет";Карачаево-Черкесская Республика;3;7
"16 лет";Кемеровская область;2;0
"16 лет";Кировская область;0;0
"16 лет";Костромская область;0;1
"16 лет";Краснодарский край;13;16
"16 лет";Красноярский край;1;0
"16 лет";Курганская область;0;0
"16 лет";Курская область;1;4
"16 лет";Ленинградская область;0;0
"16 лет";Липецкая область;2;0
"16 лет";Магаданская область;0;0
"16 лет";Московская область;16;33
"16 лет";Мурманская область;0;0
"16 лет";Нижегородская область;5;3
"16 лет";Новгородская область;51;52
"16 лет";Новосибирская область;3;7
"16 лет";Омская область;12;41
"16 лет";Оренбургская область;1;1
"16 лет";Орловская область;0;1
